filename,satellite_name,satellite_norad_id,time_enters,time_leaves,azimuth_enters,altitude_enters,azimuth_leaves,altitude_leaves
command_line_input,SWARM B,39451,2026-01-17T11:12:48Z,2026-01-17T11:12:52Z,60.63,67.10,68.60,68.33
command_line_input,STELLA,22824,2026-01-17T15:28:44Z,2026-01-17T15:28:44Z,60.57,76.92,60.57,76.92
command_line_input,CRYOSAT 2,36508,2025-12-24T02:52:16Z,2025-12-24T02:52:21Z,60.00,72.33,68.49,73.71
command_line_input,LAGEOS 2,22195,2025-12-24T08:22:29Z,2025-12-24T08:23:23Z,59.33,76.99,68.91,75.28
command_line_input,STELLA,22824,2025-12-24T02:15:51Z,2025-12-24T02:15:56Z,68.66,73.20,59.88,72.81
command_line_input,SENTINEL 3A,41335,2025-12-24T02:39:35Z,2025-12-24T02:39:41Z,68.64,69.42,60.21,68.99
command_line_input,SWARM C,39453,2026-01-19T16:31:18Z,2026-01-19T16:31:21Z,60.88,68.60,68.24,69.66
command_line_input,EGS (AJISAI),16908,2026-01-19T21:33:54Z,2026-01-19T21:34:10Z,59.14,69.44,67.21,67.00
command_line_input,LARES,38077,2026-01-19T20:02:43Z,2026-01-19T20:02:56Z,59.47,68.35,68.55,68.11
command_line_input,S6 MICHAEL FREILICH,46984,2025-12-27T17:41:08Z,2025-12-27T17:41:19Z,59.69,69.46,68.28,68.97
command_line_input,LAGEOS 1,8820,2025-12-27T19:40:05Z,2025-12-27T19:41:42Z,59.01,67.94,68.88,72.16
command_line_input,LAGEOS 2,22195,2025-12-27T02:35:43Z,2025-12-27T02:36:09Z,68.99,68.26,67.76,67.04
command_line_input,LAGEOS 2,22195,2026-01-11T06:23:31Z,2026-01-11T06:24:30Z,59.04,76.37,68.93,74.49
command_line_input,HAIYANG 2C,46469,2026-01-11T00:33:08Z,2026-01-11T00:33:15Z,59.81,69.97,67.91,69.58
command_line_input,HAIYANG 2C,46469,2026-01-11T15:46:47Z,2026-01-11T15:46:48Z,68.74,67.30,68.09,67.01
command_line_input,JASON 3,41240,2026-01-02T16:06:43Z,2026-01-02T16:06:55Z,59.73,67.85,68.54,67.30
command_line_input,SWARM A,39452,2026-01-02T06:31:53Z,2026-01-02T06:31:56Z,67.09,70.12,59.74,68.91
command_line_input,LAGEOS 2,22195,2026-01-02T07:23:00Z,2026-01-02T07:23:57Z,59.18,76.68,69.00,74.86
command_line_input,EGS (AJISAI),16908,2026-01-10T00:30:27Z,2026-01-10T00:30:38Z,59.18,76.99,68.39,75.28
command_line_input,EGS (AJISAI),16908,2026-01-10T19:31:05Z,2026-01-10T19:31:41Z,68.94,75.62,65.19,67.05
command_line_input,LARETS,27944,2026-01-10T08:44:36Z,2026-01-10T08:44:39Z,67.58,76.96,59.65,76.62
command_line_input,LARES,38077,2026-01-10T21:48:36Z,2026-01-10T21:48:44Z,59.86,75.91,68.65,75.80
command_line_input,SENTINEL 3A,41335,2026-01-10T15:51:50Z,2026-01-10T15:51:50Z,59.56,76.74,59.56,76.74
command_line_input,HAIYANG 2D,48621,2026-01-10T06:46:37Z,2026-01-10T06:46:42Z,59.41,75.83,67.76,75.59
command_line_input,HAIYANG 2D,48621,2026-01-10T22:00:01Z,2026-01-10T22:00:11Z,68.09,76.35,59.43,72.99
command_line_input,CRYOSAT 2,36508,2026-01-09T13:46:19Z,2026-01-09T13:46:24Z,67.89,70.88,59.90,70.02
command_line_input,SWARM C,39453,2026-01-09T17:28:00Z,2026-01-09T17:28:01Z,62.59,76.60,66.54,76.98
command_line_input,LAGEOS 2,22195,2026-01-09T06:10:37Z,2026-01-09T06:12:08Z,59.02,70.93,69.00,67.80
command_line_input,STARLETTE,7646,2026-01-09T06:53:20Z,2026-01-09T06:53:21Z,59.22,67.33,59.93,67.13
command_line_input,LARES,38077,2026-01-09T12:50:48Z,2026-01-09T12:51:06Z,68.96,73.63,59.09,70.15
command_line_input,LARETS,27944,2025-12-30T08:37:21Z,2025-12-30T08:37:24Z,68.08,67.28,63.62,67.06
command_line_input,LARES,38077,2025-12-30T23:44:54Z,2025-12-30T23:45:03Z,59.50,74.85,68.67,74.73
command_line_input,S6 MICHAEL FREILICH,46984,2025-12-26T09:24:55Z,2025-12-26T09:25:12Z,68.96,70.69,61.14,67.03
command_line_input,STARLETTE,7646,2025-12-26T11:30:21Z,2025-12-26T11:30:26Z,59.09,68.31,63.13,67.21
command_line_input,LAGEOS 1,8820,2025-12-21T05:00:21Z,2025-12-21T05:01:19Z,68.85,70.47,59.13,71.44
command_line_input,HAIYANG 2D,48621,2025-12-21T11:21:53Z,2025-12-21T11:21:58Z,59.96,75.82,68.28,75.55
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-06T15:39:38Z,2026-01-06T15:39:50Z,59.17,69.44,68.52,68.92
