filename,satellite_name,satellite_norad_id,time_enters,time_leaves,azimuth_enters,altitude_enters,azimuth_leaves,altitude_leaves
command_line_input,CRYOSAT 2,36508,2025-12-30T02:45:09Z,2025-12-30T02:45:36Z,359.57,43.03,357.21,52.77
command_line_input,S6 MICHAEL FREILICH,46984,2025-12-30T16:50:18Z,2025-12-30T16:51:04Z,355.07,43.54,4.81,50.40
command_line_input,SARAL,39086,2025-12-30T00:02:58Z,2025-12-30T00:03:14Z,358.18,43.17,355.07,48.02
command_line_input,LAGEOS 1,8820,2025-12-30T03:27:53Z,2025-12-30T03:30:35Z,4.96,49.02,355.02,44.79
command_line_input,LAGEOS 1,8820,2025-12-30T22:32:57Z,2025-12-30T22:35:41Z,4.98,43.43,355.02,47.32
command_line_input,STARLETTE,7646,2025-12-30T07:18:14Z,2025-12-30T07:18:14Z,4.87,52.95,4.87,52.95
command_line_input,STARLETTE,7646,2025-12-30T09:07:24Z,2025-12-30T09:07:42Z,355.48,52.12,4.59,52.99
command_line_input,HAIYANG 2C,46469,2025-12-30T19:15:44Z,2025-12-30T19:16:04Z,355.12,47.05,0.86,43.18
command_line_input,SENTINEL 3B,43437,2025-12-30T02:46:59Z,2025-12-30T02:47:29Z,1.46,52.70,356.80,43.10
command_line_input,SARAL,39086,2025-12-22T10:39:40Z,2025-12-22T10:39:58Z,4.79,48.71,1.32,43.19
command_line_input,LAGEOS 1,8820,2025-12-22T03:47:52Z,2025-12-22T03:50:34Z,4.97,48.95,355.02,44.73
command_line_input,LAGEOS 1,8820,2025-12-22T22:52:56Z,2025-12-22T22:55:40Z,4.97,43.49,355.00,47.39
command_line_input,STARLETTE,7646,2025-12-22T10:11:56Z,2025-12-22T10:12:16Z,355.07,50.11,4.66,49.38
command_line_input,LARETS,27944,2025-12-22T08:41:55Z,2025-12-22T08:42:18Z,4.79,51.49,359.89,43.23
command_line_input,LAGEOS 1,8820,2026-01-05T02:20:13Z,2026-01-05T02:20:50Z,4.99,43.54,2.63,43.01
command_line_input,LAGEOS 1,8820,2026-01-05T21:26:12Z,2026-01-05T21:27:25Z,4.97,50.48,0.62,52.97
command_line_input,STARLETTE,7646,2026-01-05T05:34:43Z,2026-01-05T05:35:03Z,355.46,52.53,4.95,51.75
command_line_input,LAGEOS 1,8820,2026-01-18T02:14:12Z,2026-01-18T02:16:33Z,4.94,46.02,356.28,43.01
command_line_input,LAGEOS 1,8820,2026-01-18T21:19:25Z,2026-01-18T21:22:06Z,4.99,46.17,355.06,50.68
command_line_input,STARLETTE,7646,2026-01-18T02:27:32Z,2026-01-18T02:27:53Z,355.29,50.53,4.85,50.98
command_line_input,JASON 3,41240,2026-01-20T05:02:10Z,2026-01-20T05:02:14Z,355.17,43.51,356.05,43.00
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-20T05:20:31Z,2026-01-20T05:20:52Z,355.18,45.85,359.66,43.07
command_line_input,LAGEOS 1,8820,2026-01-20T03:01:39Z,2026-01-20T03:04:00Z,3.83,52.98,355.00,48.57
command_line_input,LAGEOS 1,8820,2026-01-20T22:08:12Z,2026-01-20T22:09:36Z,0.31,43.01,355.04,44.46
command_line_input,STARLETTE,7646,2026-01-20T01:16:38Z,2026-01-20T01:16:59Z,355.37,49.90,4.78,49.78
command_line_input,STELLA,22824,2026-01-20T15:47:17Z,2026-01-20T15:47:18Z,355.30,43.10,355.10,43.37
command_line_input,SENTINEL 3A,41335,2026-01-20T02:41:09Z,2026-01-20T02:41:09Z,4.94,43.09,4.94,43.09
command_line_input,JASON 3,41240,2026-01-19T12:34:39Z,2026-01-19T12:34:58Z,355.03,49.61,359.27,52.94
command_line_input,S6 MICHAEL FREILICH,46984,2026-01-19T12:47:19Z,2026-01-19T12:48:05Z,355.13,43.53,4.90,50.39
command_line_input,SARAL,39086,2026-01-19T10:45:04Z,2026-01-19T10:45:15Z,356.47,52.89,355.03,48.96
command_line_input,STARLETTE,7646,2026-01-19T00:57:20Z,2026-01-19T00:57:40Z,355.06,52.90,4.75,52.10
